 0,23,25,-109,-48,-40,-84,
 1,23,26,-108,-48,-39,-83,
 2,23,26,-109,-48,-40,-83,
 3,23,26,-109,-48,-41,-83,
 4,23,26,-108,-49,-40,-82,
 5,23,25,-108,-48,-40,-82,
 6,23,26,-108,-48,-40,-81,
 7,24,26,-108,-48,-40,-81,
 8,22,25,-107,-47,-40,-82,
 9,23,25,-107,-48,-40,-81,
 10,22,26,-107,-48,-40,-81,
 11,23,25,-108,-48,-40,-81,
 12,23,25,-106,-48,-40,-81,
 13,22,25,-106,-48,-40,-81,
 14,22,26,-106,-48,-40,-80,
 15,22,25,-106,-48,-39,-80,
 16,22,25,-106,-47,-40,-81,
 17,22,25,-106,-48,-40,-81,
 18,22,26,-105,-48,-40,-81,
 19,22,26,-104,-48,-40,-81,
 20,22,25,-104,-48,-40,-81,
 21,22,24,-103,-48,-40,-81,
 22,22,25,-102,-48,-39,-81,
 23,22,25,-99,-48,-39,-82,
 24,22,25,-99,-49,-39,-82,
 25,21,24,-96,-49,-38,-84,
 26,22,24,-94,-49,-37,-86,
 27,22,23,-91,-49,-37,-87,
 28,22,24,-87,-49,-37,-89,
 29,21,23,-84,-50,-36,-92,
 30,21,22,-78,-49,-35,-96,
 31,21,21,-73,-49,-34,-101,
 32,21,20,-68,-50,-32,-106,
 33,21,18,-60,-51,-30,-111,
 34,21,16,-53,-52,-27,-118,
 35,20,14,-45,-51,-24,-127,
 36,20,12,-37,-52,-21,-135,
 37,19,10,-28,-52,-18,-143,
 38,19,7,-17,-53,-16,-154,
 39,19,4,-7,-53,-13,-163,
 40,20,0,2,-54,-9,-165,
 41,19,0,14,-55,-6,-172,
 42,18,-4,25,-55,-4,-174,
 43,18,-7,32,-56,0,-151,
 44,18,-12,41,-57,0,-117,
 45,16,-15,51,-57,4,-113,
 46,15,-16,60,-57,5,-114,
 47,14,-17,63,-59,8,-116,
 48,13,-17,54,-60,10,-118,
 49,10,-16,54,-60,12,-121,
 50,9,-14,52,-61,14,-125,
 51,7,-13,60,-61,15,-128,
 52,6,-13,69,-62,17,-129,
 53,4,-15,67,-63,20,-124,
 54,2,-15,70,-64,21,-120,
 55,0,-15,75,-65,21,-118,
 56,0,-16,74,-67,22,-116,
 57,-2,-18,76,-69,22,-119,
 58,-4,-20,84,-70,23,-122,
 59,-6,-22,84,-72,22,-123,
 60,-8,-23,94,-74,23,-121,
 61,-10,-24,101,-74,24,-117,
 62,-10,-25,99,-72,23,-113,
 63,-12,-26,107,-72,24,-114,
 64,-14,-28,106,-72,26,-118,
 65,-15,-27,112,-71,27,-121,
 66,-17,-28,108,-71,29,-124,
 67,-17,-27,103,-72,30,-122,
 68,-17,-24,106,-71,32,-118,
 69,-18,-21,108,-71,33,-119,
 70,-16,-20,107,-70,35,-124,
 71,-18,-21,109,-70,37,-126,
 72,-18,-27,107,-71,37,-121,
 73,-18,-32,104,-70,36,-113,
 74,-18,-33,106,-70,35,-118,
 75,-18,-40,104,-72,34,-123,
 76,-19,-43,103,-69,35,-119,
 77,-21,-44,101,-70,35,-114,
 78,-23,-43,104,-70,35,-119,
 79,-24,-44,103,-70,36,-119,
 80,-24,-47,102,-70,38,-113,
 81,-24,-53,104,-69,38,-112,
 82,-25,-66,104,-68,36,-116,
 83,-25,-71,103,-68,36,-114,
 84,-26,-70,99,-67,35,-112,
 85,-25,-66,101,-66,33,-118,
 86,-24,-64,105,-64,30,-111,
 87,-23,-66,102,-62,29,-108,
 88,-24,-68,102,-58,31,-112,
 89,-23,-68,97,-54,33,-108,
 90,-23,-65,96,-51,35,-111,
 91,-24,-67,103,-45,37,-115,
 92,-27,-69,99,-38,36,-112,
 93,-27,-69,97,-31,35,-118,
 94,-27,-66,101,-22,33,-111,
 95,-27,-63,94,-14,32,-114,
 96,-25,-65,99,-8,34,-105,
 97,-24,-64,93,-1,36,-112,
 98,-23,-59,93,6,37,-108,
 99,-23,-58,96,10,37,-116,
 100,-22,-61,90,10,37,-110,
 101,-24,-60,92,14,34,-117,
 102,-25,-57,95,20,31,-108,
 103,-26,-59,99,25,31,-112,
 104,-28,-62,97,22,32,-108,
 105,-30,-63,96,23,34,-112,
 106,-31,-62,93,23,34,-115,
 107,-32,-66,92,34,35,-111,
 108,-33,-66,91,41,33,-112,
 109,-34,-63,93,45,31,-107,
 110,-36,-67,93,49,32,-108,
 111,-37,-65,94,52,34,-113,
 112,-41,-63,95,55,36,-108,
 113,-45,-67,92,57,36,-109,
 114,-48,-64,88,59,35,-112,
 115,-47,-64,96,61,32,-112,
 116,-46,-62,90,58,31,-106,
 117,-46,-55,92,55,33,-109,
 118,-48,-59,89,56,35,-113,
 119,-49,-56,85,56,37,-106,
 120,-48,-60,88,55,37,-101,
 121,-45,-59,85,53,34,-106,
 122,-43,-61,84,55,31,-112,
 123,-46,-64,86,58,33,-113,
 124,-47,-62,81,60,36,-109,
 125,-47,-65,85,60,39,-108,
 126,-45,-64,82,56,40,-107,
 127,-42,-69,83,55,38,-104,
 128,-43,-63,88,60,35,-104,
 129,-46,-61,87,59,34,-107,
 130,-45,-60,87,55,36,-108,
 131,-45,-56,80,56,39,-104,
 132,-45,-62,87,59,40,-107,
 133,-49,-56,88,61,39,-105,
 134,-51,-65,87,58,37,-106,
 135,-48,-63,91,57,34,-103,
 136,-44,-67,93,60,35,-104,
 137,-45,-67,88,58,36,-103,
 138,-48,-64,90,55,39,-104,
 139,-47,-67,89,59,38,-102,
 140,-44,-62,93,54,38,-108,
 141,-49,-56,87,57,35,-107,
 142,-51,-61,88,58,34,-106,
 143,-50,-67,91,54,32,-105,
 144,-47,-64,75,57,34,-104,
 145,-44,-62,70,62,32,-103,
 146,-47,-63,78,58,32,-99,
 147,-46,-68,70,59,32,-98,
 148,-42,-70,75,60,34,-99,
 149,-43,-62,82,58,36,-105,
 150,-46,-57,80,61,36,-100,
 151,-44,-58,86,58,36,-97,
 152,-44,-62,82,64,35,-101,
 153,-50,-64,89,60,34,-99,
 154,-52,-62,93,63,33,-102,
 155,-49,-67,95,58,31,-102,
