 0,18,16,-60,-29,-41,-8,
 1,18,16,-60,-29,-41,-8,
 2,18,15,-59,-29,-41,-8,
 3,17,15,-59,-30,-41,-8,
 4,19,14,-59,-29,-42,-8,
 5,18,14,-59,-30,-41,-8,
 6,18,15,-59,-30,-41,-8,
 7,18,15,-58,-29,-41,-8,
 8,19,14,-58,-29,-42,-9,
 9,17,16,-58,-29,-41,-8,
 10,18,16,-57,-29,-41,-9,
 11,18,15,-57,-29,-41,-9,
 12,18,15,-57,-29,-41,-9,
 13,18,14,-56,-29,-41,-9,
 14,18,14,-56,-29,-39,-10,
 15,17,12,-54,-29,-37,-10,
 16,18,11,-53,-29,-35,-11,
 17,18,10,-50,-30,-33,-12,
 18,18,7,-49,-30,-30,-14,
 19,18,6,-46,-30,-26,-16,
 20,18,3,-41,-30,-20,-20,
 21,18,1,-38,-30,-15,-23,
 22,18,-1,-32,-29,-9,-28,
 23,18,-4,-27,-29,-4,-34,
 24,19,-6,-19,-29,0,-41,
 25,18,-8,-11,-29,4,-49,
 26,17,-9,-4,-30,7,-58,
 27,17,-10,4,-29,9,-69,
 28,15,-11,15,-29,12,-80,
 29,15,-11,21,-29,15,-92,
 30,13,-11,26,-31,17,-107,
 31,12,-11,38,-33,17,-126,
 32,10,-9,51,-36,15,-138,
 33,8,-10,62,-39,21,-149,
 34,7,-14,63,-41,19,-136,
 35,6,-16,57,-44,21,-123,
 36,4,-17,57,-48,25,-120,
 37,2,-18,55,-53,30,-116,
 38,0,-21,71,-57,33,-112,
 39,0,-23,66,-61,32,-112,
 40,-3,-19,71,-64,29,-111,
 41,-4,-16,73,-63,29,-112,
 42,-5,-16,76,-63,32,-115,
 43,-7,-17,78,-64,38,-118,
 44,-9,-33,86,-64,37,-118,
 45,-10,-39,94,-64,35,-117,
 46,-12,-38,100,-63,31,-112,
 47,-13,-36,105,-64,35,-110,
 48,-14,-39,110,-63,37,-112,
 49,-15,-41,105,-63,34,-119,
 50,-15,-47,98,-63,31,-121,
 51,-13,-57,96,-64,35,-116,
 52,-15,-64,98,-62,35,-114,
 53,-15,-61,100,-63,31,-118,
 54,-16,-64,99,-62,35,-120,
 55,-16,-68,106,-62,35,-116,
 56,-18,-68,105,-61,30,-108,
 57,-19,-67,99,-61,36,-116,
 58,-20,-70,99,-60,31,-114,
 59,-21,-68,104,-60,34,-110,
 60,-22,-65,103,-59,32,-116,
 61,-22,-66,102,-58,32,-114,
 62,-22,-63,103,-58,36,-107,
 63,-22,-63,94,-55,35,-114,
 64,-21,-63,101,-53,38,-108,
 65,-21,-62,99,-50,37,-112,
 66,-20,-68,101,-46,38,-110,
 67,-21,-65,96,-43,38,-104,
 68,-22,-71,95,-38,34,-109,
 69,-22,-67,96,-32,37,-105,
 70,-23,-72,93,-26,33,-113,
