 0,17,12,-48,-29,-41,-15,
 1,18,12,-47,-30,-42,-15,
 2,17,12,-48,-30,-42,-15,
 3,18,12,-47,-30,-42,-15,
 4,17,12,-47,-30,-43,-15,
 5,18,12,-47,-30,-42,-15,
 6,17,12,-47,-30,-42,-15,
 7,17,12,-46,-30,-42,-15,
 8,18,12,-47,-31,-42,-16,
 9,17,12,-46,-30,-42,-16,
 10,17,12,-46,-30,-42,-16,
 11,17,13,-46,-30,-43,-16,
 12,18,12,-45,-31,-42,-16,
 13,17,10,-44,-30,-42,-16,
 14,18,10,-44,-30,-42,-17,
 15,18,8,-42,-29,-42,-17,
 16,18,7,-40,-27,-42,-18,
 17,17,6,-37,-25,-42,-19,
 18,18,3,-35,-24,-40,-21,
 19,18,1,-32,-21,-39,-22,
 20,18,0,-27,-17,-37,-26,
 21,18,-2,-21,-12,-34,-29,
 22,18,-5,-15,-7,-31,-34,
 23,17,-7,-10,-3,-28,-39,
 24,15,-10,-3,-1,-26,-46,
 25,15,-11,2,5,-23,-53,
 26,14,-11,13,9,-19,-62,
 27,14,-12,21,12,-15,-73,
 28,11,-11,24,14,-11,-85,
 29,10,-12,31,18,-8,-99,
 30,9,-11,42,20,-4,-115,
 31,7,-11,54,19,-1,-131,
 32,6,-16,61,16,2,-142,
 33,4,-15,56,20,6,-151,
 34,2,-18,55,21,7,-134,
 35,1,-20,51,28,11,-125,
 36,-1,-21,61,35,12,-122,
 37,-5,-20,69,36,15,-119,
 38,-6,-18,63,38,17,-115,
 39,-8,-18,72,38,16,-116,
 40,-10,-17,70,38,17,-116,
 41,-10,-24,78,40,18,-116,
 42,-13,-39,79,39,18,-118,
 43,-14,-34,88,39,19,-121,
 44,-14,-37,92,43,20,-122,
 45,-14,-38,94,46,21,-121,
 46,-14,-41,101,49,24,-117,
 47,-17,-49,100,51,25,-114,
 48,-16,-60,97,51,28,-117,
 49,-16,-63,95,49,29,-122,
 50,-17,-63,94,51,31,-124,
 51,-20,-67,94,55,32,-120,
 52,-20,-68,94,57,32,-118,
 53,-21,-67,97,56,29,-123,
 54,-22,-70,93,56,29,-125,
 55,-21,-67,96,60,29,-117,
 56,-23,-67,100,60,30,-114,
 57,-23,-67,97,58,33,-120,
 58,-22,-63,96,60,35,-115,
 59,-21,-66,97,64,36,-113,
 60,-21,-61,92,62,34,-121,
 61,-22,-68,96,61,31,-116,
 62,-23,-66,99,65,29,-112,
 63,-25,-71,96,61,31,-118,
 64,-24,-69,98,63,33,-113,
 65,-22,-72,97,65,36,-117,
 66,-21,-66,99,61,36,-113,
 67,-21,-73,91,65,32,-108,
 68,-22,-67,95,60,30,-108,
 69,-24,-63,89,65,31,-107,
 70,-26,-64,91,63,34,-116,
 71,-28,-62,88,68,36,-111,
 72,-27,-64,92,64,32,-117,
 73,-29,-71,92,71,29,-114,
 74,-30,-68,93,66,29,-110,
 75,-34,-70,102,71,32,-109,
 76,-37,-68,101,67,32,-106,
 77,-37,-69,93,67,32,-114,
 78,-38,-68,88,70,29,-111,
 79,-40,-67,98,68,30,-107,
 80,-43,-65,96,69,33,-109,
 81,-45,-66,91,72,35,-107,
 82,-43,-67,92,71,30,-110,
 83,-39,-70,93,69,28,-118,
 84,-40,-65,91,72,31,-113,
 85,-44,-59,91,75,36,-108,
 86,-41,-64,82,77,33,-109,
 87,-37,-65,87,75,29,-113,
 88,-41,-73,89,76,33,-114,
 89,-42,-68,83,72,37,-114,
 90,-40,-68,84,73,35,-113,
 91,-42,-69,91,74,31,-111,
 92,-46,-69,91,73,34,-112,
 93,-46,-71,89,75,36,-112,
 94,-41,-73,93,75,34,-105,
 95,-46,-64,95,80,31,-112,
 96,-45,-65,91,78,33,-113,
 97,-43,-78,89,82,34,-112,
 98,-49,-71,93,82,32,-109,
 99,-47,-65,85,84,29,-110,
 100,-45,-70,95,76,32,-108,
 101,-48,-66,93,76,34,-110,
 102,-45,-76,92,83,33,-117,
 103,-45,-67,98,77,30,-119,
 104,-46,-62,91,78,32,-114,
 105,-42,-67,95,81,35,-116,
 106,-47,-66,97,75,32,-111,
 107,-44,-67,92,80,28,-111,
 108,-44,-63,99,83,31,-115,
 109,-49,-69,96,80,35,-116,
 110,-44,-70,97,77,34,-111,
 111,-51,-68,92,77,32,-114,
 112,-45,-76,93,74,32,-117,
 113,-50,-68,95,81,37,-112,
 114,-44,-65,90,84,37,-118,
 115,-46,-71,90,78,33,-107,
 116,-44,-73,85,84,31,-111,
 117,-47,-69,94,78,33,-117,
 118,-45,-72,90,80,36,-111,
 119,-47,-66,93,81,36,-115,
 120,-42,-57,98,80,33,-111,
 121,-47,-60,103,81,31,-122,
 122,-44,-65,93,78,34,-116,
 123,-50,-61,102,79,37,-115,
 124,-45,-72,99,82,38,-116,
 125,-50,-71,93,83,37,-111,
 126,-46,-68,94,83,33,-119,
 127,-49,-71,94,78,32,-112,
 128,-44,-71,92,77,35,-106,
 129,-50,-74,91,73,36,-105,
 130,-46,-69,81,77,34,-107,
 131,-43,-74,73,78,34,-108,
 132,-46,-59,74,73,34,-107,
 133,-41,-65,87,83,32,-113,
 134,-43,-63,86,81,29,-113,
 135,-45,-60,96,81,28,-107,
 136,-40,-66,99,79,27,-105,
 137,-46,-59,100,76,28,-111,
 138,-50,-74,97,84,27,-106,
 139,-45,-73,96,83,27,-109,
 140,-48,-72,100,84,24,-105,
 141,-52,-79,100,91,19,-105,
 142,-49,-75,103,89,10,-101,
 143,-52,-69,97,86,0,-103,
 144,-54,-65,103,91,-10,-106,
 145,-50,-73,102,88,-17,-108,
 146,-48,-66,95,93,-18,-106,
 147,-50,-72,101,91,-17,-102,
 148,-46,-62,97,85,-25,-102,
 149,-45,-71,98,87,-27,-100,
