 0,22,11,-90,-33,-44,-75,
 1,22,12,-91,-33,-44,-75,
 2,23,12,-90,-32,-44,-75,
 3,22,12,-90,-32,-44,-75,
 4,22,12,-90,-32,-44,-75,
 5,23,12,-90,-32,-44,-74,
 6,22,12,-89,-32,-44,-74,
 7,22,12,-90,-33,-45,-74,
 8,23,12,-90,-32,-44,-73,
 9,22,13,-89,-32,-44,-74,
 10,22,12,-89,-32,-44,-74,
 11,23,12,-90,-32,-44,-74,
 12,22,12,-89,-32,-44,-73,
 13,22,12,-89,-32,-44,-73,
 14,22,13,-89,-33,-44,-73,
 15,22,12,-89,-32,-44,-73,
 16,22,11,-89,-32,-44,-74,
 17,22,11,-88,-33,-43,-73,
 18,21,11,-88,-33,-43,-72,
 19,22,12,-87,-32,-43,-73,
 20,22,11,-87,-32,-43,-74,
 21,22,12,-86,-33,-42,-73,
 22,22,11,-85,-32,-41,-74,
 23,22,11,-83,-32,-38,-74,
 24,22,10,-82,-33,-37,-74,
 25,22,8,-80,-32,-34,-75,
 26,21,7,-77,-33,-30,-76,
 27,22,6,-74,-32,-28,-78,
 28,22,4,-71,-32,-25,-79,
 29,21,3,-68,-32,-21,-81,
 30,22,0,-63,-33,-17,-84,
 31,20,0,-58,-32,-12,-87,
 32,22,-2,-53,-33,-8,-91,
 33,20,-5,-46,-33,-4,-95,
 34,21,-7,-40,-33,0,-100,
 35,20,-9,-33,-33,3,-105,
 36,20,-10,-24,-33,7,-112,
 37,20,-11,-17,-33,9,-117,
 38,20,-12,-6,-35,13,-125,
 39,20,-12,0,-35,15,-131,
 40,19,-12,14,-35,17,-138,
 41,19,-12,22,-36,18,-145,
 42,18,-13,26,-36,19,-149,
 43,20,-12,33,-36,17,-149,
 44,17,-12,39,-37,22,-137,
 45,16,-12,47,-37,21,-127,
 46,16,-11,56,-38,22,-125,
 47,15,-12,57,-38,24,-124,
 48,13,-13,48,-39,25,-124,
 49,12,-16,50,-40,27,-126,
 50,10,-18,48,-40,29,-128,
 51,8,-18,49,-41,31,-129,
 52,6,-20,62,-42,34,-129,
 53,5,-22,68,-42,36,-129,
 54,4,-21,67,-43,35,-126,
 55,3,-20,68,-43,34,-124,
 56,1,-19,75,-45,31,-121,
