J1      J2      J3      J4      J5      J6      R1      R2      R3
0.099	-0.2227	-0.1781	0.2969	0.2227	0.1484	0	0	0
0.1019	-0.2292	-0.1834	0.3056	0.2292	0.1528	0	0	0
0.1048	-0.2359	-0.1887	0.3145	0.2359	0.1572	0	0	0
0.1078	-0.2426	-0.194	0.3234	0.2426	0.1617	0	0	0
0.1108	-0.2493	-0.1995	0.3324	0.2493	0.1662	0	0	0
0.1138	-0.2561	-0.2049	0.3415	0.2561	0.1708	0	0	0
0.1169	-0.263	-0.2104	0.3507	0.263	0.1753	0	0	0
0.12	-0.2699	-0.2159	0.3599	0.2699	0.1799	0	0	0
0.1231	-0.2769	-0.2215	0.3692	0.2769	0.1846	0	0	0
0.1262	-0.2839	-0.2271	0.3785	0.2839	0.1893	0	0	0
0.1293	-0.291	-0.2328	0.3879	0.291	0.194	0	0	0
0.1325	-0.2981	-0.2384	0.3974	0.2981	0.1987	0	0	0
0.1356	-0.3052	-0.2441	0.4069	0.3052	0.2035	0	0	0
0.1388	-0.3124	-0.2499	0.4165	0.3124	0.2082	0	0	0
0.142	-0.3196	-0.2556	0.4261	0.3196	0.213	0	0	0
0.1452	-0.3268	-0.2614	0.4357	0.3268	0.2179	0	0	0
0.1485	-0.334	-0.2672	0.4454	0.334	0.2227	0	0	0
0.1517	-0.3413	-0.2731	0.4551	0.3413	0.2276	0	0	0
0.1549	-0.3486	-0.2789	0.4648	0.3486	0.2324	0	0	0
0.1582	-0.3559	-0.2848	0.4746	0.3559	0.2373	0	0	0
0.1615	-0.3633	-0.2906	0.4844	0.3633	0.2422	0	0	0
0.1647	-0.3706	-0.2965	0.4942	0.3706	0.2471	0	0	0
0.168	-0.378	-0.3024	0.504	0.378	0.252	0	0	0
0.1713	-0.3853	-0.3083	0.5138	0.3853	0.2569	0	0	0
0.1745	-0.3927	-0.3142	0.5236	0.3927	0.2618	0	0	0
0.1778	-0.4001	-0.32	0.5334	0.4001	0.2667	0	0	0
0.1811	-0.4074	-0.3259	0.5432	0.4074	0.2716	0	0	0
0.1843	-0.4148	-0.3318	0.553	0.4148	0.2765	0	0	0
0.1876	-0.4221	-0.3377	0.5628	0.4221	0.2814	0	0	0
0.1909	-0.4295	-0.3436	0.5726	0.4295	0.2863	0	0	0
0.1941	-0.4368	-0.3494	0.5824	0.4368	0.2912	0	0	0
0.1974	-0.4441	-0.3553	0.5921	0.4441	0.296	0	0	0
0.2006	-0.4514	-0.3611	0.6018	0.4514	0.3009	0	0	0
0.2038	-0.4586	-0.3669	0.6115	0.4586	0.3057	0	0	0
0.207	-0.4658	-0.3727	0.6211	0.4658	0.3106	0	0	0
