 0,20,12,-42,-20,-41,-9,
 1,20,11,-42,-20,-43,-9,
 2,20,12,-42,-19,-42,-9,
 3,20,12,-42,-20,-41,-9,
 4,19,11,-42,-20,-41,-9,
 5,19,11,-42,-20,-42,-9,
 6,19,11,-42,-20,-42,-9,
 7,20,11,-41,-20,-41,-9,
 8,20,12,-41,-20,-41,-9,
 9,19,11,-40,-20,-41,-9,
 10,20,11,-41,-20,-42,-9,
 11,20,10,-41,-20,-41,-10,
 12,20,11,-40,-20,-41,-10,
 13,20,11,-41,-20,-41,-10,
 14,20,11,-41,-20,-42,-11,
 15,20,11,-40,-20,-41,-11,
 16,20,11,-40,-20,-41,-11,
 17,20,11,-40,-19,-41,-11,
 18,20,11,-39,-19,-40,-12,
 19,19,11,-38,-19,-41,-12,
 20,21,11,-38,-19,-41,-12,
 21,20,11,-37,-19,-41,-13,
 22,20,9,-35,-18,-39,-13,
 23,20,8,-34,-18,-40,-14,
 24,20,6,-33,-17,-40,-14,
 25,21,5,-29,-18,-39,-15,
 26,20,3,-27,-17,-38,-16,
 27,19,2,-25,-16,-38,-18,
 28,19,1,-21,-14,-38,-20,
 29,19,0,-17,-12,-38,-23,
 30,20,-3,-13,-9,-37,-25,
 31,19,-7,-8,-7,-36,-29,
 32,19,-8,-3,-4,-34,-33,
 33,18,-11,0,0,-31,-38,
 34,18,-11,7,0,-28,-43,
 35,18,-12,13,3,-27,-49,
 36,18,-12,18,5,-25,-54,
 37,18,-12,22,7,-21,-63,
 38,18,-11,24,10,-18,-72,
 39,16,-12,28,12,-16,-81,
 40,16,-12,33,13,-13,-90,
 41,14,-12,40,15,-10,-102,
 42,14,-11,47,17,-6,-113,
 43,11,-12,49,18,-4,-124,
 44,10,-13,47,18,-1,-136,
 45,7,-18,52,20,4,-147,
 46,7,-18,51,20,5,-134,
 47,5,-21,50,21,6,-126,
 48,4,-21,58,26,9,-124,
 49,2,-22,65,31,10,-123,
 50,0,-21,63,34,12,-121,
 51,-1,-20,63,36,13,-121,
 52,-3,-19,68,38,15,-121,
 53,-5,-17,66,38,15,-120,
 54,-6,-17,65,40,17,-119,
 55,-9,-19,75,40,17,-118,
 56,-10,-23,74,38,17,-116,
 57,-11,-27,82,37,16,-117,
 58,-11,-38,88,37,17,-118,
 59,-12,-42,88,38,19,-120,
 60,-13,-48,93,41,18,-122,
